Ones,Inputs,Normalized
1,-1,0
1,-0.997752809,4.95E-05
1,-0.995505618,2.48E-05
1,-0.993258427,2.48E-05
1,-0.991011236,2.48E-05
1,-0.988764045,6.19E-05
1,-0.986516854,0.000111477
1,-0.984269663,0.000123864
1,-0.982022472,0.00013625
1,-0.979775281,7.43E-05
1,-0.97752809,8.67E-05
1,-0.975280899,9.91E-05
1,-0.973033708,6.19E-05
1,-0.970786517,0.000210568
1,-0.968539326,0.000483068
1,-0.966292135,0.000507841
1,-0.964044944,0.000817499
1,-0.961797753,0.00064409
1,-0.959550562,0.000458295
1,-0.957303371,0.000953749
1,-0.95505618,0.001288181
1,-0.952808989,0.001436817
1,-0.950561798,0.00187034
1,-0.948314607,0.001634999
1,-0.946067416,0.00105284
1,-0.943820225,0.000867045
1,-0.941573034,0.002080908
1,-0.939325843,0.002724998
1,-0.937078652,0.002291476
1,-0.934831461,0.002774544
1,-0.93258427,0.003245225
1,-0.930337079,0.002365794
1,-0.928089888,0.002056135
1,-0.925842697,0.004273293
1,-0.923595506,0.003852156
1,-0.921348315,0.004731588
1,-0.919101124,0.004298065
1,-0.916853933,0.004855451
1,-0.914606742,0.003096589
1,-0.912359551,0.003208066
1,-0.91011236,0.00781579
1,-0.907865169,0.006378973
1,-0.905617978,0.007196472
1,-0.903370787,0.00598261
1,-0.901123596,0.007084995
1,-0.898876404,0.005747269
1,-0.896629213,0.005933064
1,-0.894382022,0.011804196
1,-0.892134831,0.011593628
1,-0.88988764,0.01220056
1,-0.887640449,0.01233681
1,-0.885393258,0.014182377
1,-0.883146067,0.010094879
1,-0.880898876,0.009834766
1,-0.878651685,0.018839646
1,-0.876404494,0.018220328
1,-0.874157303,0.017625783
1,-0.871910112,0.018653851
1,-0.869662921,0.02147794
1,-0.86741573,0.014417717
1,-0.865168539,0.013835559
1,-0.862921348,0.024054302
1,-0.860674157,0.024289643
1,-0.858426966,0.02412862
1,-0.856179775,0.023335893
1,-0.853932584,0.019260782
1,-0.851685393,0.018492828
1,-0.849438202,0.017056011
1,-0.847191011,0.03272475
1,-0.84494382,0.027671117
1,-0.842696629,0.029591003
1,-0.840449438,0.031349865
1,-0.838202247,0.031337479
1,-0.835955056,0.020524191
1,-0.833707865,0.019223623
1,-0.831460674,0.038620655
1,-0.829213483,0.03802611
1,-0.826966292,0.040007927
1,-0.824719101,0.039846905
1,-0.82247191,0.045755196
1,-0.820224719,0.028117026
1,-0.817977528,0.021539872
1,-0.815730337,0.051787351
1,-0.813483146,0.045953378
1,-0.811235955,0.050189511
1,-0.808988764,0.050821215
1,-0.806741573,0.05118042
1,-0.804494382,0.029925434
1,-0.802247191,0.024797483
1,-0.8,0.059305869
1,-0.797752809,0.054784849
1,-0.795505618,0.056556098
1,-0.793258427,0.053385191
1,-0.791011236,0.055342235
1,-0.788764045,0.034954294
1,-0.786516854,0.027237595
1,-0.784269663,0.067542795
1,-0.782022472,0.0599128
1,-0.779775281,0.06283598
1,-0.77752809,0.062092799
1,-0.775280899,0.063901206
1,-0.773033708,0.039004632
1,-0.770786517,0.030569525
1,-0.768539326,0.077922561
1,-0.766292135,0.072745064
1,-0.764044944,0.072162905
1,-0.761797753,0.067765749
1,-0.759550562,0.071147224
1,-0.757303371,0.040020314
1,-0.75505618,0.033467932
1,-0.752808989,0.082864716
1,-0.750561798,0.080214036
1,-0.748314607,0.076547675
1,-0.746067416,0.076126539
1,-0.743820225,0.076324721
1,-0.741573034,0.046275423
1,-0.739325843,0.032328387
1,-0.737078652,0.086877895
1,-0.734831461,0.081960512
1,-0.73258427,0.078888696
1,-0.730337079,0.078554265
1,-0.728089888,0.081972899
1,-0.725842697,0.046808036
1,-0.723595506,0.037964179
1,-0.721348315,0.093678004
1,-0.719101124,0.089540962
1,-0.716853933,0.09532539
1,-0.714606742,0.087943122
1,-0.712359551,0.088203235
1,-0.71011236,0.046572696
1,-0.707865169,0.03843486
1,-0.705617978,0.097641638
1,-0.703370787,0.098186638
1,-0.701123596,0.092315505
1,-0.698876404,0.087435281
1,-0.696629213,0.089441871
1,-0.694382022,0.048641217
1,-0.692134831,0.040602472
1,-0.68988764,0.110572993
1,-0.687640449,0.104825724
1,-0.685393258,0.109792652
1,-0.683146067,0.102385612
1,-0.680898876,0.099710159
1,-0.678651685,0.05515644
1,-0.676404494,0.04336463
1,-0.674157303,0.113124582
1,-0.671910112,0.107265836
1,-0.669662921,0.102856294
1,-0.66741573,0.100292318
1,-0.665168539,0.099450046
1,-0.662921348,0.052158942
1,-0.660674157,0.03802611
1,-0.658426966,0.105618451
1,-0.656179775,0.101592885
1,-0.653932584,0.09505289
1,-0.651685393,0.093839027
1,-0.649438202,0.083471648
1,-0.647191011,0.047489286
1,-0.64494382,0.031746228
1,-0.642696629,0.093355959
1,-0.640449438,0.091572324
1,-0.638202247,0.088921644
1,-0.635955056,0.08271608
1,-0.633707865,0.082121535
1,-0.631460674,0.04560656
1,-0.629213483,0.030247479
1,-0.626966292,0.090061189
1,-0.624719101,0.08523051
1,-0.62247191,0.080523695
1,-0.620224719,0.079966309
1,-0.617977528,0.077030743
1,-0.615730337,0.040317586
1,-0.613483146,0.028984071
1,-0.611235955,0.08550301
1,-0.608988764,0.083384943
1,-0.606741573,0.078021651
1,-0.604494382,0.074702108
1,-0.602247191,0.078120742
1,-0.6,0.039178041
1,-0.597752809,0.029182253
1,-0.595505618,0.087930736
1,-0.593258427,0.082951421
1,-0.591011236,0.087162781
1,-0.588764045,0.081019149
1,-0.586516854,0.078492333
1,-0.584269663,0.039227587
1,-0.582022472,0.027807367
1,-0.579775281,0.087249486
1,-0.57752809,0.088624371
1,-0.575280899,0.085725964
1,-0.573033708,0.078034038
1,-0.570786517,0.074825972
1,-0.568539326,0.035994748
1,-0.566292135,0.025986573
1,-0.564044944,0.079619491
1,-0.561797753,0.082109149
1,-0.559550562,0.075123244
1,-0.557303371,0.070688929
1,-0.55505618,0.068199272
1,-0.552808989,0.03486759
1,-0.550561798,0.023757029
1,-0.548314607,0.077699606
1,-0.546067416,0.054153145
1,-0.543820225,0.027881686
1,-0.541573034,0.079470855
1,-0.539325843,0.069536998
1,-0.537078652,0.034954294
1,-0.534831461,0.023100552
1,-0.53258427,0.078318924
1,-0.530337079,0.076510516
1,-0.528089888,0.072261996
1,-0.525842697,0.066985409
1,-0.523595506,0.06548666
1,-0.521348315,0.033083955
1,-0.519101124,0.022790894
1,-0.516853933,0.078083583
1,-0.514606742,0.073872222
1,-0.512359551,0.068843362
1,-0.51011236,0.065560978
1,-0.507865169,0.062006094
1,-0.505617978,0.030445661
1,-0.503370787,0.021911462
1,-0.501123596,0.073500632
1,-0.498876404,0.073773132
1,-0.496629213,0.071531201
1,-0.494382022,0.068285976
1,-0.492134831,0.070181089
1,-0.48988764,0.037666906
1,-0.487640449,0.027472936
1,-0.485393258,0.084561647
1,-0.483146067,0.088376644
1,-0.480898876,0.080214036
1,-0.478651685,0.080090173
1,-0.476404494,0.08193574
1,-0.474157303,0.041543835
1,-0.471910112,0.029343275
1,-0.469662921,0.101976862
1,-0.46741573,0.103971065
1,-0.465168539,0.091906756
1,-0.462921348,0.090370847
1,-0.460674157,0.08961528
1,-0.458426966,0.043389402
1,-0.456179775,0.030643843
1,-0.453932584,0.104181634
1,-0.451685393,0.098459137
1,-0.449438202,0.088995962
1,-0.447191011,0.085131419
1,-0.44494382,0.077835856
1,-0.442696629,0.037394406
1,-0.440449438,0.026903163
1,-0.438202247,0.064049843
1,-0.435955056,0.100168454
1,-0.433707865,0.094594595
1,-0.431460674,0.093603686
1,-0.429213483,0.087918349
1,-0.426966292,0.043909629
1,-0.424719101,0.032848614
1,-0.42247191,0.111155151
1,-0.420224719,0.110721629
1,-0.417977528,0.103525157
1,-0.415730337,0.100961181
1,-0.413483146,0.093900959
1,-0.411235955,0.048405876
1,-0.408988764,0.032712364
1,-0.406741573,0.041035995
1,-0.404494382,0.119218669
1,-0.402247191,0.107996631
1,-0.4,0.101753908
1,-0.397752809,0.103983452
1,-0.395505618,0.052270419
1,-0.393258427,0.034495999
1,-0.391011236,0.128335026
1,-0.388764045,0.127418436
1,-0.386516854,0.118735601
1,-0.384269663,0.11890901
1,-0.382022472,0.119131964
1,-0.379775281,0.060643595
1,-0.37752809,0.037320088
1,-0.375280899,0.135432408
1,-0.373033708,0.14409047
1,-0.370786517,0.142021949
1,-0.368539326,0.138962519
1,-0.366292135,0.135197067
1,-0.364044944,0.074293358
1,-0.361797753,0.039363837
1,-0.359550562,0.162385117
1,-0.357303371,0.161109322
1,-0.35505618,0.154854213
1,-0.352808989,0.158000347
1,-0.350561798,0.154817054
1,-0.348314607,0.085490624
1,-0.346067416,0.042386107
1,-0.343820225,0.178128174
1,-0.341573034,0.173978745
1,-0.339325843,0.165122501
1,-0.337078652,0.158545346
1,-0.334831461,0.155461144
1,-0.33258427,0.081948126
1,-0.330337079,0.047055763
